lambda,0,,,,,,,,,
back,Cna/A,,,,,,,,,
betaAR,0,1,2,3,4,6,8,10,12,100
0,1.4,1.58,1.7,1.22,0.94,0.64,0.49,0.39,0.32,0.32
1,1.56,1.73,1.46,1.23,0.96,0.65,0.49,0.39,0.32,0.32
3,1.24,1.26,1.16,1.05,0.94,0.7,0.51,0.4,0.33,0.33
6,0.78,0.8,0.81,0.81,0.8,0.7,0.59,0.45,0.36,0.36
lambda,0.25,,,,,,,,,
back,Cna/A,,,,,,,,,
betaAR,0,1,2,3,4,6,8,10,12,100
0,1.6,1.85,1.64,1.2,0.94,0.65,0.49,0.39,0.32,0.32
1,1.8,1.83,1.56,1.23,0.96,0.65,0.49,0.39,0.32,0.32
3,1.28,1.28,1.28,1.13,1,0.7,0.51,0.4,0.33,0.33
6,0.8,0.8,0.8,0.8,0.81,0.7,0.62,0.48,0.38,0.36
lambda,0.5,,,,,,,,,
back,Cna/A,,,,,,,,,
betaAR,0,1,2,3,4,6,8,10,12,100
0,1.85,1.92,1.57,1.18,0.91,0.63,0.49,0.39,0.33,0.32
1,1.85,1.86,1.54,1.19,0.93,0.66,0.5,0.4,0.34,0.32
3,1.28,1.27,1.25,1.14,0.99,0.69,0.52,0.4,0.34,0.33
6,0.8,0.8,0.81,0.81,0.81,0.76,0.61,0.46,0.36,0.36
lambda,1,,,,,,,,,
back,Cna/A,,,,,,,,,
betaAR,0,1,1.5,2,3,4,6,8,10,12
0,2,2,2,1.5,1.11,0.88,0.61,0.47,0.38,0.32
1,2,2,1.72,1.47,1.13,0.89,0.62,0.47,0.38,0.32
3,1.26,1.26,1.22,1.18,1.14,0.95,0.67,0.49,0.4,0.32
6,0.76,0.78,0.77,0.76,0.74,0.74,0.7,0.59,0.46,0.36
