M,cna_l,,,
lfd,1.5,3,5,7
0,2,2,2,2
0.1,2,2,2,2
0.2,2,2,2,2
0.3,2.01,2.01,2.01,2.01
0.4,2.02,2.02,2.02,2.02
0.5,2.03,2.03,2.03,2.03
0.6,2.05,2.05,2.05,2.05
0.7,2.07,2.07,2.07,2.07
0.8,2.1,2.1,2.1,2.1
0.9,2.17,2.17,2.17,2.17
1,2.3,2.3,2.3,2.3
1.05,2.37,2.37,2.37,2.37
1.1,2.39,2.39,2.39,2.39
1.2,2.37,2.31,2.3,2.3
1.3,2.35,2.28,2.21,2.2
1.4,2.35,2.25,2.15,2.13
1.5,2.35,2.24,2.12,2.09
1.6,2.36,2.24,2.1,2.06
1.7,2.37,2.25,2.09,2.04
1.8,2.38,2.27,2.08,2.03
1.9,2.39,2.29,2.08,2.02
2,2.4,2.31,2.09,2.02
2.1,2.41,2.33,2.1,2.02
2.2,2.41,2.35,2.11,2.03
2.3,2.42,2.37,2.12,2.04
2.4,2.43,2.39,2.14,2.05
2.5,2.44,2.4,2.15,2.05
2.6,2.45,2.42,2.17,2.06
2.7,2.45,2.44,2.18,2.07
2.8,2.46,2.46,2.19,2.08
2.9,2.47,2.48,2.2,2.09
3,2.47,2.49,2.21,2.1
3.1,2.48,2.51,2.23,2.1
3.2,2.49,2.52,2.24,2.11
3.3,2.5,2.54,2.26,2.12
3.4,2.5,2.55,2.27,2.13
3.5,2.51,2.57,2.28,2.14
3.6,2.51,2.58,2.29,2.14
3.7,2.52,2.6,2.31,2.15
3.8,2.52,2.61,2.32,2.15
3.9,2.53,2.62,2.33,2.16
4,2.53,2.64,2.34,2.17
4.1,2.54,2.64,2.35,2.17
4.2,2.54,2.65,2.36,2.18
4.3,2.55,2.66,2.37,2.19
4.4,2.55,2.67,2.38,2.2
4.5,2.55,2.68,2.39,2.2
4.6,2.55,2.68,2.4,2.21
4.7,2.56,2.69,2.4,2.21
4.8,2.56,2.69,2.41,2.22
4.9,2.56,2.7,2.41,2.23
5,2.56,2.7,2.42,2.23
