M,0,,,,,
lfd,k,,,,,
lcd,0,2,4,6,10,50
1.5,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,1,1,1,1,1,1
7,1,1,1,1,1,1
M,1,,,,,
lfd,k,,,,,
lcd,0,2,4,6,10,50
1.5,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,1,1,1,1,1,1
7,1,1,1,1,1,1
M,2,,,,,
lfd,k,,,,,
lcd,0,2,4,6,10,50
1.5,0.87,0.99,1.028,1.01,1,1
2,0.875,0.992,1.029,1.01,1,1
3,0.887,0.998,1.03,1.01,1,1
4,0.898,1.009,1.03,1.01,1,1
5,0.911,1.011,1.028,1.01,1,1
6,0.927,1.017,1.02,1.009,1,1
7,0.943,1.022,1.017,1.004,1,1
M,3,,,,,
lfd,k,,,,,
lcd,0,2,4,6,10,50
1.5,0.77,0.97,1.03,1.02,1,1
2,0.776,0.97,1.028,1.019,1,1
3,0.788,0.97,1.028,1.019,1,1
4,0.802,0.973,1.029,1.018,1,1
5,0.822,0.982,1.029,1.018,1,1
6,0.854,0.995,1.029,1.011,1,1
7,0.901,1.012,1.029,1.009,1,1
M,4,,,,,
lfd,k,,,,,
lcd,0,2,4,6,10,50
1.5,0.72,0.93,1.015,1.027,1,1
2,0.724,0.931,1.015,1.027,1,1
3,0.74,0.937,1.016,1.027,1,1
4,0.762,0.943,1.019,1.022,1,1
5,0.787,0.956,1.02,1.02,1,1
6,0.82,0.971,1.022,1.018,1,1
7,0.87,0.991,1.028,1.016,1,1
M,5,,,,,
lfd,k,,,,,
lcd,0,2,4,6,10,50
1.5,0.692,0.895,0.999,1.03,1,1
2,0.704,0.9,1,1.03,1,1
3,0.73,0.912,1.002,1.03,1,1
4,0.76,0.925,1.006,1.03,1,1
5,0.792,0.94,1.01,1.026,1,1
6,0.83,0.959,1.018,1.021,1,1
7,0.87,0.985,1.027,1.018,1,1
